pathway_model,metabolite,n_samples,spearman_rho,p_value,q_value_FDR,significant_p_0_05,significant_FDR_0_05
CORE_ASMO,mannose,193,0.2104320055334964,0.0033099097992528915,0.0986407829430242,True,False
CORE_EMP1,gamma-glutamylglutamine,193,0.20986521559193552,0.003397330845600762,0.10082942410894115,True,False
CORE_TAL,hyocholate,193,0.20956667633840867,0.003444210907191774,0.1018018404207667,True,False
CORE_ASDO,"12,13-DiHOME",193,0.20912223582608383,0.003515084716677952,0.10305199584016826,True,False
CORE_ASDO_var2,"12,13-DiHOME",193,0.20912223582608383,0.003515084716677952,0.10305199584016826,True,False
CORE_ASDO,N-formylmethionine,193,0.20890836198344048,0.0035496576218555353,0.10322633374525048,True,False
CORE_ASDO_var2,N-formylmethionine,193,0.20890836198344048,0.0035496576218555353,0.10322633374525048,True,False
CORE_ASMO,N-acetylhistamine,193,0.2086098113977928,0.0035984318815135293,0.10396256664846447,True,False
CORE_EMP1,1-methyladenine,193,0.20857714582428002,0.003603805000293416,0.10396256664846447,True,False
CORE_ASMO,3b-hydroxy-5-cholenoic acid,193,0.20846480921192778,0.0036223384110787285,0.1039956311836061,True,False
